"id","word","nature","index_word","n","tf","idf","tf_idf"
655,"玩意","n",1,14,0.5,4.30695666148397,2.15347833074198
655,"关机","n",2,14,0.5,4.30695666148397,2.15347833074198
116,"购买","v",2,95,0.89622641509434,2.39213709949869,2.14389645709788
423,"特别","d",1,12,0.48,4.46110734131123,2.14133152382939
353,"满意","v",1,48,0.695652173913043,3.07481298019134,2.13900033404615
49,"降价","n",2,38,0.644067796610169,3.30842783137284,2.13085182359607
610,"听","v",2,79,0.822916666666667,2.57656613863221,2.12029921824942
170,"声","n",2,22,0.55,3.85497153774091,2.1202343457575
804,"死机","n",2,19,0.527777777777778,4.00157501193279,2.11194236740897
920,"充电","v",4,45,0.671641791044776,3.13935150132891,2.10851966507165
668,"降价","n",2,38,0.633333333333333,3.30842783137284,2.09533762653613
682,"只能","v",2,38,0.633333333333333,3.30842783137284,2.09533762653613
765,"速度","n",2,18,0.514285714285714,4.05564223320306,2.08575886279015
362,"不错","a",4,95,0.871559633027523,2.39213709949869,2.0848901325906
252,"玩意","n",2,14,0.482758620689655,4.30695666148397,2.07922045726812
385,"声","n",2,22,0.536585365853659,3.85497153774091,2.06852131293415
414,"质量","n",1,132,1,2.06321206851286,2.06321206851286
305,"声音","n",2,118,0.936507936507937,2.17532936663356,2.03721321637111
340,"问","n",3,9,0.428571428571429,4.74878941376301,2.03519546304129
947,"声音","n",1,118,0.929133858267717,2.17532936663356,2.02117216742331
926,"功能","n",4,67,0.736263736263736,2.74132137170826,2.01833551543355
287,"感觉","n",1,75,0.76530612244898,2.62852587756292,2.01162694711448
152,"便宜","a",3,19,0.5,4.00157501193279,2.00078750596639
769,"好好","d",1,56,0.674698795180723,2.92066230036408,1.9705673351854
747,"格式","n",1,30,0.555555555555556,3.54481660943707,1.96934256079837
411,"不好","d",1,145,1,1.96928024867865,1.96928024867865
746,"不好","d",1,145,1,1.96928024867865,1.96928024867865
47,"选择","v",3,48,0.64,3.07481298019134,1.96788030732246
242,"退货","v",5,112,0.881889763779528,2.22751511980413,1.96442278281939
324,"服务","vn",1,120,0.909090909090909,2.15852224831718,1.96229295301562
955,"台","q",2,44,0.619718309859155,3.16182435718097,1.9594404467037
836,"不好","d",2,145,0.993150684931507,1.96928024867865,1.95579202779729
413,"不停","d",5,3,0.333333333333333,5.84740170243112,1.94913390081037
373,"一分货","n",2,7,0.388888888888889,5.00010384204391,1.94448482746152
227,"找","v",2,31,0.553571428571429,3.51202678661408,1.94415768544708
804,"两天","m",1,17,0.472222222222222,4.11280064704301,1.94215586110364
101,"耐用","a",2,6,0.375,5.15425452187117,1.93284544570169
415,"购物","n",1,138,0.951724137931034,2.01876030594202,1.92130291186206
152,"后悔","v",1,18,0.473684210526316,4.05564223320306,1.92109368941198
153,"坏","a",2,84,0.763636363636364,2.51519719225591,1.9206960377227
938,"充电","v",4,45,0.608108108108108,3.13935150132891,1.90906510215947
271,"一般般","l",1,23,0.5,3.81051977517008,1.90525988758504
271,"一般般","l",2,23,0.5,3.81051977517008,1.90525988758504
243,"声音","n",1,118,0.867647058823529,2.17532936663356,1.88741812693206
7,"价格","n",1,71,0.702970297029703,2.68333411405791,1.88630417918922
502,"辣鸡","x",1,15,0.441176470588235,4.23796378999702,1.86968990735163
546,"功能","n",7,67,0.676767676767677,2.74132137170826,1.85523769600458
770,"太差","n",2,44,0.586666666666667,3.16182435718097,1.85493695621283
340,"昨天","t",1,8,0.380952380952381,4.86657244941939,1.85393236168358
444,"送货","v",1,11,0.407407407407407,4.54811871830086,1.85293725560405
669,"差评","x",2,85,0.739130434782609,2.50336273460891,1.85031158645006
201,"质量","n",4,132,0.885906040268456,2.06321206851286,1.82781203385032
420,"货","n",6,25,0.490196078431373,3.72713816623103,1.82702851285835
170,"电流","n",1,18,0.45,4.05564223320306,1.82503900494138
57,"降价","n",3,38,0.550724637681159,3.30842783137284,1.82203271872707
245,"不错","a",2,95,0.76,2.39213709949869,1.818024195619
765,"太小","n",1,15,0.428571428571429,4.23796378999702,1.81627019571301
199,"不好","d",3,145,0.917721518987342,1.96928024867865,1.80725086112914
410,"东西","ns",1,136,0.883116883116883,2.03335910536318,1.79569375538566
43,"官方","n",3,73,0.675925925925926,2.65555454995084,1.79495816802232
600,"换","nz",1,29,0.5,3.57871816111275,1.78935908055638
391,"发票","n",2,23,0.469387755102041,3.81051977517008,1.78861132303902
474,"亏","v",2,2,0.285714285714286,6.25286681053928,1.78653337443979
474,"理想","n",3,2,0.285714285714286,6.25286681053928,1.78653337443979
385,"电流","n",1,18,0.439024390243902,4.05564223320306,1.78052585847939
119,"感人","n",2,5,0.333333333333333,5.33657607866513,1.77885869288838
186,"降价","n",2,38,0.535211267605634,3.30842783137284,1.77070785341082
572,"重音","n",1,3,0.3,5.84740170243112,1.75422051072934
203,"降价","n",2,38,0.527777777777778,3.30842783137284,1.74611468878011
391,"自营","vn",1,22,0.448979591836735,3.85497153774091,1.73080354755714
185,"盒子","n",2,11,0.379310344827586,4.54811871830086,1.7251484793555
185,"盒子","n",3,11,0.379310344827586,4.54811871830086,1.7251484793555
444,"滴","v",3,10,0.37037037037037,4.64342889810518,1.7197884807797
373,"一分钱","n",1,6,0.333333333333333,5.15425452187117,1.71808484062372
423,"别买","x",5,9,0.36,4.74878941376301,1.70956418895468
895,"价格","n",2,71,0.628318584070796,2.68333411405791,1.68598869113373
666,"东西","ns",1,136,0.824242424242424,2.03335910536318,1.67598083835995
127,"快递","v",1,59,0.584158415841584,2.86847654719351,1.6756447156873
991,"玩意","n",4,14,0.388888888888889,4.30695666148397,1.6749275905771
27,"购买","v",1,95,0.698529411764706,2.39213709949869,1.67097812097335
648,"手机","n",6,102,0.713286713286713,2.32104117781496,1.65556783312675
908,"差评","x",6,85,0.65891472868217,2.50336273460891,1.64950257706789
816,"感觉","n",4,75,0.625,2.62852587756292,1.64282867347682
248,"音质","n",1,201,1,1.64270908304015,1.64270908304015
98,"音质","n",1,201,0.995049504950495,1.64270908304015,1.63457685985678
891,"收音机","n",2,72,0.610169491525424,2.66934787208317,1.62875463381346
123,"坏","a",2,84,0.646153846153846,2.51519719225591,1.62520433961151
10,"后悔","v",2,18,0.4,4.05564223320306,1.62225689328123
1023,"电池","n",4,51,0.536842105263158,3.0141883583749,1.61814322396968
756,"太差","n",2,44,0.511627906976744,3.16182435718097,1.61767757809259
653,"东西","ns",3,136,0.795321637426901,2.03335910536318,1.61717449315434
810,"坏","a",1,84,0.641221374045801,2.51519719225591,1.61279819961448
202,"一点","m",1,30,0.454545454545455,3.54481660943707,1.61128027701685
600,"货","n",3,25,0.431034482758621,3.72713816623103,1.6065250716513
792,"不好","d",1,145,0.814606741573034,1.96928024867865,1.60418896662025
145,"耳机","n",2,214,0.995348837209302,1.58003797607738,1.57268896223516
168,"机","n",3,11,0.34375,4.54811871830086,1.56341580941592
256,"一句","m",1,2,0.25,6.25286681053928,1.56321670263482
481,"哈哈哈哈","o",1,2,0.25,6.25286681053928,1.56321670263482
481,"哈哈哈哈","o",2,2,0.25,6.25286681053928,1.56321670263482
481,"反反复复","l",3,2,0.25,6.25286681053928,1.56321670263482
481,"反反复复","l",4,2,0.25,6.25286681053928,1.56321670263482
854,"寄过来","v",2,2,0.25,6.25286681053928,1.56321670263482
495,"声音","n",7,118,0.715151515151515,2.17532936663356,1.55569009250158
128,"小时","n",1,70,0.573770491803279,2.69751874904987,1.54775665929091
450,"收到","v",3,60,0.540540540540541,2.85166942887713,1.54144293452818
202,"低音","n",2,28,0.424242424242424,3.61380948092402,1.53313129493746
555,"打开","v",5,28,0.424242424242424,3.61380948092402,1.53313129493746
374,"音质","n",1,201,0.930555555555556,1.64270908304015,1.52863206338459
278,"声音","n",3,118,0.702380952380952,2.17532936663356,1.52790991227834
967,"信号","n",1,74,0.578125,2.64194889789506,1.52737670659558
764,"不好","d",3,145,0.771276595744681,1.96928024867865,1.51885976626811
66,"音质","n",1,201,0.917808219178082,1.64270908304015,1.50769189813274
57,"开","v",1,29,0.420289855072464,3.57871816111275,1.50409893727927
786,"坏","a",2,84,0.595744680851064,2.51519719225591,1.49841534857799
793,"坏","a",3,84,0.595744680851064,2.51519719225591,1.49841534857799
881,"快递","v",1,59,0.52212389380531,2.86847654719351,1.49770014410988
616,"不好","d",2,145,0.759162303664921,1.96928024867865,1.49500333014872
104,"时间","n",2,51,0.495145631067961,3.0141883583749,1.49246219686524
991,"破","v",3,12,0.333333333333333,4.46110734131123,1.48703578043708
15,"电话","n",2,76,0.567164179104478,2.6152806508129,1.48329350344612
564,"质量","n",2,132,0.713513513513514,2.06321206851286,1.47212969212809
239,"漫步者","n",2,238,0.99581589958159,1.47374331742775,1.46757702739667
205,"蓝牙","ns",5,155,0.771144278606965,1.90258887417998,1.46717052486516
422,"声音","n",2,118,0.674285714285714,2.17532936663356,1.4667935157872
250,"感觉","n",2,75,0.555555555555556,2.62852587756292,1.46029215420162
720,"差","a",2,89,0.593333333333333,2.45737762136709,1.45804405534447
176,"耳机","n",2,214,0.922413793103448,1.58003797607738,1.45744882276103
770,"想","v",1,31,0.413333333333333,3.51202678661408,1.45163773846715
951,"商品","n",1,119,0.664804469273743,2.1668904979877,1.44055848748903
1002,"耳机","n",2,214,0.91063829787234,1.58003797607738,1.43884309310876
733,"蓝牙","ns",2,155,0.75609756097561,1.90258887417998,1.43854280730681
832,"赠品","n",1,20,0.363636363636364,3.95028171754524,1.43646607910736
832,"赠品","n",4,20,0.363636363636364,3.95028171754524,1.43646607910736
330,"想","v",1,31,0.407894736842105,3.51202678661408,1.43253724190838
348,"音质","n",6,201,0.87012987012987,1.64270908304015,1.42937024108689
291,"好评","v",2,51,0.472222222222222,3.0141883583749,1.42336672478815
293,"音箱","n",4,82,0.557823129251701,2.53929474383497,1.41647734009842
825,"钱","n",4,22,0.366666666666667,3.85497153774091,1.41348956383833
291,"评价","n",5,50,0.462962962962963,3.03399098567108,1.4046254563292
107,"降","v",3,7,0.28,5.00010384204391,1.4000290757723
985,"不好","d",1,145,0.71078431372549,1.96928024867865,1.39973351009022
303,"两个","m",1,30,0.394736842105263,3.54481660943707,1.39926971425148
276,"音质","n",1,201,0.848101265822785,1.64270908304015,1.39318365270494
300,"小心","n",2,2,0.222222222222222,6.25286681053928,1.38952595789762
413,"嘟","o",2,2,0.222222222222222,6.25286681053928,1.38952595789762
413,"嘟嘟","o",3,2,0.222222222222222,6.25286681053928,1.38952595789762
49,"买回来","l",1,21,0.355932203389831,3.9014915533758,1.38866648509986
304,"用户","n",1,159,0.73953488372093,1.877109788879,1.38818816945005
955,"收不到","v",1,27,0.380281690140845,3.6501771250949,1.38809552644454
514,"不错","a",2,95,0.579268292682927,2.39213709949869,1.38568917349009
372,"正品","n",4,44,0.435643564356436,3.16182435718097,1.37742843283131
386,"不错","a",1,95,0.575757575757576,2.39213709949869,1.37729105728712
104,"充电","v",1,45,0.436893203883495,3.13935150132891,1.37156133553205
228,"刚买","x",1,20,0.344827586206897,3.95028171754524,1.36216610949836
